region,city,revenue,orders,quantity
SP,cajati,1821.32,16,16
SP,santa rosa de viterbo,1818.22,14,19
PB,cajazeiras,1818.16,11,12
BA,santo amaro,1805.93,10,12
MA,timon,1802.69,15,16
RO,cacoal,1801.47,12,13
TO,paraiso do tocantins,1799.04,10,11
PR,mariental,1799.0,1,1
MG,eloi mendes,1795.39,10,11
PR,mangueirinha,1794.67,9,10
MA,caxias,1790.55,16,16
SP,nova granada,1790.33,19,21
SP,osvaldo cruz,1786.46,16,21
MG,esmeraldas,1780.97,14,16
MG,iturama,1772.55,15,15
SP,fartura,1771.41,10,12
MG,caxambu,1770.63,17,17
PR,ampere,1769.67,9,9
SP,pariquera-acu,1765.1,15,16
PR,quatro barras,1763.66,18,21
SP,palmital,1760.16,18,20
SP,itatinga,1760.15,4,4
ES,itaguacu,1758.03,7,8
SP,itai,1757.58,10,12
MG,buritis,1756.22,14,16
PR,cafelandia,1755.11,12,15
RS,santa vitoria do palmar,1750.75,12,15
RS,parobe,1750.48,12,12
GO,uruacu,1750.02,17,19
PE,sanharo,1748.0,3,4
MG,passa quatro,1746.56,10,11
GO,niquelandia,1745.59,14,16
GO,santa fe de goias,1737.69,4,4
CE,beberibe,1736.7,3,3
MG,abaete,1732.81,12,12
SC,mafra,1732.23,26,31
BA,irece,1729.52,13,23
PR,bandeirantes,1728.2,13,14
MG,lagoa da prata,1725.39,11,12
RS,charqueadas,1721.41,17,18
RJ,itaocara,1720.65,16,18
PB,esperanca,1720.38,6,6
SC,xaxim,1718.58,10,10
RS,camaqua,1716.75,13,19
BA,santa maria da vitoria,1710.55,13,15
PA,ourilandia do norte,1710.08,5,7
MG,itamarandiba,1706.99,8,11
PR,loanda,1704.36,13,15
PE,belo jardim,1698.13,12,13
CE,camocim,1686.29,8,9
MG,santana do jacare,1685.79,4,4
SC,barra velha,1684.01,15,18
SC,morro da fumaca,1676.0,7,7
SC,sao joao batista,1675.22,10,10
RJ,conceicao de macabu,1668.47,13,14
MG,leopoldina,1667.77,17,20
PR,jaguariaiva,1665.58,18,19
MG,sao joaquim de bicas,1663.28,8,10
BA,esplanada,1660.9,5,5
PE,gameleira,1657.98,4,4
SP,itajobi,1653.95,10,18
SP,ibate,1652.59,13,14
MG,mantena,1652.22,11,14
SC,sao francisco do sul,1648.08,17,21
RJ,miracema,1643.24,19,20
MG,carmo do rio claro,1642.42,9,16
MG,carmo do cajuru,1638.44,10,12
PE,catende,1630.18,7,7
MG,carmopolis de minas,1629.78,5,6
SP,caconde,1628.19,10,11
PE,bom conselho,1624.93,7,7
RS,taquari,1619.28,11,13
MG,bocaiuva,1618.27,13,13
RS,lagoa vermelha,1616.25,14,14
MS,paranaiba,1616.23,15,16
RJ,santo amaro de campos,1611.78,6,6
SP,paraibuna,1610.99,10,11
SP,santa adelia,1609.65,15,16
SP,bom jesus dos perdoes,1608.73,17,18
SP,guariba,1608.43,14,14
PE,ipojuca,1605.2,17,17
PR,piraquara,1604.51,14,17
PA,jacunda,1601.71,6,7
ES,castelo,1600.8,18,18
SP,jardinopolis,1600.05,13,14
MA,loreto,1599.99,1,1
MS,coxim,1598.75,11,13
RS,crissiumal,1589.0,2,2
MA,vitorino freire,1588.0,3,3
ES,montanha,1586.54,10,12
RS,cangucu,1584.98,14,15
SP,pirajui,1583.52,12,16
PR,nova esperanca,1579.78,8,11
SC,pomerode,1579.36,9,11
TO,porto nacional,1577.68,8,9
PB,pombal,1577.5,6,7
SP,candido mota,1573.29,16,17
PI,sao joao do piaui,1571.79,6,8
MS,chapadao do sul,1569.79,14,16
ES,afonso claudio,1568.77,11,11
PA,canaa dos carajas,1565.93,9,9
GO,minacu,1561.62,11,12
RS,palmeira das missoes,1559.51,16,17
MS,sidrolandia,1557.76,11,12
MG,visconde do rio branco,1557.34,18,20
MT,pontes e lacerda,1556.77,9,9
SP,reginopolis,1552.99,3,3
MG,vazante,1549.63,6,9
CE,ipueiras,1547.29,3,6
MA,nova olinda do maranhao,1546.4,4,4
RS,ronda alta,1544.33,6,11
CE,campos sales,1543.9,4,5
MG,conceicao das alagoas,1542.4,3,3
PB,santa rita,1541.65,7,7
MG,boa esperanca,1539.82,11,12
RO,costa marques,1534.9,2,2
RS,toropi,1529.9,3,3
CE,brejo santo,1529.86,10,12
RJ,itatiaia,1526.46,18,19
MG,periquito,1526.0,2,2
MS,cassilandia,1524.5,5,8
PE,petrolandia,1520.49,9,9
ES,ibatiba,1518.78,9,9
SP,embu,1517.88,11,15
RS,mostardas,1517.83,11,11
SP,tambau,1513.43,19,21
SC,faxinal dos guedes,1512.73,11,16
MG,mata verde,1512.53,6,8
SP,aracoiaba da serra,1511.57,11,12
BA,camamu,1506.82,9,9
MG,lambari,1506.47,8,10
SP,pacaembu,1505.29,6,6
CE,nova russas,1504.94,7,7
MG,entre rios de minas,1503.86,7,7
SC,imbuia,1501.88,4,5
SC,balneario picarras,1501.81,9,11
GO,santa helena de goias,1499.73,9,10
RJ,sao francisco de itabapoana,1497.76,15,16
TO,alvorada,1494.47,6,6
RS,teutonia,1493.6,14,17
RJ,carmo,1493.19,13,15
CE,nova olinda,1490.8,3,7
PI,corrente,1489.9,4,6
PA,quatro bocas,1486.99,5,5
BA,catu,1486.97,10,11
SP,jose bonifacio,1486.34,12,13
RJ,porto real,1484.6,7,8
BA,pojuca,1481.09,13,14
CE,cruz,1480.58,7,8
GO,morrinhos,1479.79,14,20
PR,siqueira campos,1478.08,9,10
GO,quirinopolis,1475.95,14,16
MG,piranguinho,1475.65,9,11
BA,itamaraju,1474.13,12,12
SC,garuva,1467.38,5,5
RJ,aperibe,1464.94,12,15
RS,chapada,1463.19,4,4
RN,currais novos,1462.79,8,9
PR,andira,1462.18,11,14
RS,dom pedrito,1461.93,10,11
SC,correia pinto,1454.23,11,12
MG,paraguacu,1452.85,12,18
SP,jarinu,1450.38,19,21
MG,buenopolis,1450.38,5,6
BA,ibitita,1450.0,1,1
SC,lauro muller,1449.57,8,8
MA,sao jose de ribamar,1444.82,14,14
RS,flores da cunha,1439.45,12,14
CE,limoeiro do norte,1436.57,12,13
MS,fatima do sul,1436.29,4,4
ES,marilandia,1436.07,8,8
SP,altinopolis,1428.8,4,4
RS,arroio do meio,1425.21,10,11
PA,redencao,1423.25,12,13
PB,queimadas,1422.9,5,5
MT,itauba,1420.98,5,5
BA,buerarema,1420.8,4,4
RS,torres,1416.23,17,21
MG,nova ponte,1409.49,9,10
MG,baependi,1409.04,8,10
SC,orleans,1408.59,8,8
ES,sao gabriel da palha,1406.8,13,13
SP,tanabi,1404.39,11,12
MG,ipaba,1403.5,8,9
RJ,boa esperanca,1399.99,1,1
SP,bastos,1399.6,17,18
ES,baixo guandu,1399.1,8,11
RS,campinas do sul,1398.89,6,6
BA,formosa do rio preto,1398.13,3,7
MG,mutum,1397.94,8,9
SP,bocaina,1391.9,6,6
MG,bonfinopolis de minas,1387.2,2,2
PA,sao felix do xingu,1382.7,8,9
BA,mata de sao joao,1382.55,12,13
SP,biritiba-mirim,1381.72,10,12
PE,barreiros,1381.16,6,6
RN,joao camara,1379.8,2,2
RS,bom retiro do sul,1379.0,2,2
SC,guaramirim,1377.08,13,14
CE,santana do acarau,1376.89,4,4
GO,senador canedo,1375.57,16,18
MG,jequitinhonha,1372.37,11,11
SP,divinolandia,1370.68,7,7
ES,vila valerio,1369.4,8,10
GO,alto paraiso de goias,1367.34,9,27
MG,ibia,1367.29,8,11
SP,itabera,1366.14,7,8
CE,acarau,1364.96,8,9
MG,itapecerica,1363.28,13,13
MG,aracuai,1362.98,9,9
MG,corinto,1362.86,11,11
SP,pitangueiras,1362.62,16,17
SP,iguape,1359.57,14,14
PR,jacarezinho,1356.86,17,17
MG,malacacheta,1355.65,7,12
RS,campestre da serra,1348.99,2,2
PE,afogados da ingazeira,1345.98,8,8
PI,altos,1345.39,5,5
RN,upanema,1343.6,3,5
MG,aguas formosas,1341.7,5,6
CE,itapipoca,1341.08,11,13
PB,pirpirituba,1340.0,1,1
MG,divino,1338.49,14,15
SP,cordeiropolis,1338.05,16,22
PE,bezerros,1337.29,11,12
RS,girua,1335.28,10,11
MA,sao joao dos patos,1333.08,7,7
MG,tupaciguara,1331.21,13,16
PE,sao bento do una,1328.39,4,4
RS,casca,1326.27,7,7
SP,tabapua,1322.96,12,13
GO,sao miguel do araguaia,1321.15,5,7
SC,apiuna,1320.6,7,7
SP,pirapozinho,1319.37,14,15
MG,conceicao do mato dentro,1317.91,12,15
PI,guadalupe,1313.7,4,5
SC,itaiopolis,1313.59,8,11
SP,sao miguel arcanjo,1311.09,13,13
MS,caarapo,1310.49,4,4
PI,fronteiras,1308.8,3,3
MG,dores de campos,1308.14,8,8
SP,itapui,1307.09,7,7
PR,ibipora,1303.38,12,15
CE,barbalha,1302.98,6,6
SP,pinhalzinho,1300.42,12,16
SP,barao ataliba nogueira,1300.0,1,1
MG,barra longa,1300.0,1,1
BA,tapiramuta,1298.99,2,2
SP,sao simao,1297.89,10,10
GO,neropolis,1297.22,7,10
MG,simonesia,1295.88,8,8
CE,morada nova,1295.28,9,9
MG,astolfo dutra,1294.52,11,14
MG,barroso,1289.96,11,15
BA,alcobaca,1289.78,4,4
PR,sao miguel do iguacu,1288.2,10,10
RJ,italva,1285.99,14,15
GO,sao luis de montes belos,1284.37,8,10
ES,jaguare,1283.85,14,15
PA,xinguara,1282.22,9,10
SP,mirandopolis,1274.99,13,15
RS,tres passos,1270.21,11,12
SP,agudos,1265.3,16,17
PR,realeza,1264.26,6,8
CE,pacajus,1262.59,6,7
SP,casa branca,1261.58,13,13
SC,gravatal,1260.27,6,6
SP,teodoro sampaio,1259.77,12,12
SP,itariri,1259.32,6,7
SP,balsamo,1257.23,6,9
SP,duartina,1252.67,10,12
MG,sao goncalo do sapucai,1252.4,9,9
SP,aluminio,1252.15,13,14
SP,iracemapolis,1251.88,18,20
MG,areado,1246.69,6,6
GO,campinorte,1244.69,7,8
RO,pimenta bueno,1243.79,7,7
BA,vera cruz,1243.52,7,7
PA,sao miguel do guama,1240.79,5,5
RJ,mendes,1240.75,12,14
MG,botelhos,1240.01,8,9
AL,penedo,1239.87,8,8
PE,sao lourenco da mata,1239.86,12,13
PB,guarabira,1239.68,10,11
PE,bonito,1235.79,5,5
SP,ouroeste,1235.19,11,13
RS,ivoti,1235.11,13,13
PA,marituba,1235.09,15,15
RN,parelhas,1233.89,4,4
SP,dois corregos,1233.69,11,12
SP,descalvado,1231.74,13,14
PE,saloa,1231.0,3,4
RS,nova prata,1230.94,16,17
MG,turmalina,1229.69,9,10
PE,venturosa,1228.9,2,2
SP,ipaussu,1228.72,7,9
MG,sao joao evangelista,1227.66,7,7
MA,santa ines,1226.88,12,15
SC,sombrio,1225.82,11,13
AL,coruripe,1222.3,3,3
SC,capinzal,1220.55,10,12
PR,primeiro de maio,1216.67,7,7
BA,candeias,1214.17,13,13
PB,cabedelo,1213.95,7,7
SP,conchas,1213.02,10,10
RS,espumoso,1210.71,7,9
GO,silvania,1208.79,7,7
PE,palmares,1206.82,8,8
AP,santana,1202.64,9,14
BA,coaraci,1201.88,4,4
PR,assis chateaubriand,1200.31,12,14
RO,alto paraiso,1200.0,1,1
SP,pirangi,1199.99,8,8
MT,bom jesus do araguaia,1199.9,1,1
PB,passagem,1199.0,1,1
BA,riacho de santana,1194.7,4,5
SP,santa gertrudes,1194.21,11,13
MG,sao francisco,1193.62,12,13
MG,rio pomba,1192.86,6,7
RJ,sao jose do vale do rio preto,1192.21,12,13
PA,santana do araguaia,1190.8,3,4
AM,coari,1190.65,1,1
SP,guararema,1189.56,11,11
ES,domingos martins,1188.3,9,9
CE,ubajara,1178.9,3,8
SP,parapua,1178.4,8,9
RS,igrejinha,1173.03,17,20
SC,schroeder,1168.69,9,9
RS,tapejara,1165.13,9,9
RS,santo augusto,1165.08,9,10
MA,cedral,1164.9,3,3
SP,saltinho,1164.79,5,7
MG,perdizes,1163.31,8,10
PB,brejo do cruz,1160.0,1,1
TO,guarai,1156.6,4,6
CE,jaguaruana,1155.15,4,4
RS,itaqui,1154.38,9,17
PR,campina grande do sul,1152.47,10,11
RJ,areal,1152.18,7,8
SP,sao lourenco da serra,1151.95,12,15
PA,tucuma,1150.25,4,4
SP,urupes,1150.14,10,12
SP,salesopolis,1146.52,10,12
MG,arapora,1144.38,5,6
PA,conceicao do araguaia,1143.89,7,7
SC,forquilhinha,1143.85,13,17
MG,carandai,1143.5,11,13
CE,quixere,1143.3,3,3
GO,uruana,1142.29,3,4
PR,santo antonio da platina,1140.61,12,14
RS,terra de areia,1137.29,5,5
SC,celso ramos,1136.79,2,13
BA,catu de abrantes,1135.99,2,3
BA,camacan,1134.67,6,7
CE,jijoca de jericoacoara,1130.9,4,4
SP,salto de pirapora,1130.59,13,14
SP,santo antonio do pinhal,1128.9,2,2
MA,colinas,1128.87,3,4
RJ,papucaia,1126.77,10,11
BA,casa nova,1126.19,6,6
AL,delmiro gouveia,1125.8,4,6
MT,aripuana,1124.78,8,8
SP,charqueada,1122.67,10,10
SC,rio negrinho,1121.19,13,14
SC,sao joaquim,1118.98,9,11
BA,inhambupe,1117.78,7,7
ES,santa teresa,1117.36,10,11
RJ,goitacazes,1116.34,11,11
MG,raul soares,1115.51,12,14
SP,maracai,1114.58,8,11
RS,butia,1112.69,6,6
MG,monte belo,1109.78,5,8
GO,chapadao do ceu,1108.57,8,9
RS,nova roma do sul,1106.99,1,1
PI,cocal,1106.77,8,8
SC,herval d'oeste,1106.74,9,14
CE,redencao,1104.68,4,4
MT,canarana,1103.73,10,11
BA,entre rios,1103.4,6,6
SP,santo antonio do aracangua,1099.0,1,1
RN,caicara do norte,1099.0,1,1
SP,guarei,1098.29,5,5
ES,boa esperanca,1097.58,7,7
SP,pontal,1097.38,12,14
AL,palmeira dos indios,1094.41,8,8
SP,guara,1093.7,8,11
CE,reriutaba,1093.32,3,3
BA,prado,1090.79,5,5
SP,engenheiro coelho,1089.47,13,13
BA,itaberaba,1089.16,10,10
GO,goianapolis,1086.98,4,4
MG,sao jose da lapa,1086.58,8,8
MT,alto araguaia,1085.73,5,5
PR,pontal do parana,1084.26,8,8
GO,goias,1084.21,8,8
PA,barcarena,1084.17,6,6
PA,braganca,1083.96,9,10
MG,cristina,1079.32,8,9
MG,ervalia,1076.83,7,7
SP,brotas,1073.08,12,13
PE,toritama,1072.79,5,5
ES,fundao,1072.68,5,5
RS,capao do leao,1072.25,4,5
GO,acreuna,1070.43,7,9
SP,pauliceia,1070.27,3,6
MT,confresa,1065.65,7,7
RJ,sumidouro,1060.68,10,10
RN,caraubas,1059.29,3,3
SP,patrocinio paulista,1059.2,2,2
PR,ibaiti,1057.36,11,11
MG,pompeu,1055.18,11,13
RS,frederico westphalen,1053.45,14,15
MG,catas altas,1052.85,5,5
AL,santana do mundau,1052.8,3,4
SP,vera cruz,1052.17,10,10
PR,itapejara d'oeste,1049.9,6,7
PR,nova prata do iguacu,1049.78,6,7
PR,godoy moreira,1049.0,1,1
RJ,santa maria madalena,1046.09,7,7
MG,prata,1044.58,10,10
RS,rolante,1044.15,10,10
MS,costa rica,1043.66,12,14
PI,valenca do piaui,1043.0,4,4
SP,rio das pedras,1042.64,11,12
PB,sousa,1042.59,7,8
MG,capinopolis,1042.18,11,12
SP,pedregulho,1039.4,2,6
PB,alhandra,1037.0,2,2
CE,cascavel,1035.66,5,7
RS,arroio dos ratos,1034.18,9,9
GO,rubiataba,1034.09,7,10
SP,aguas da prata,1028.28,10,12
SC,ibirama,1026.5,13,17
RS,jaguarao,1025.29,8,10
SP,sao sebastiao da grama,1024.79,4,4
ES,pinheiros,1024.32,8,8
SP,buritama,1024.24,9,12
PR,colorado,1022.78,6,7
SP,brodowski,1020.54,10,14
SP,cajobi,1018.43,8,9
PE,lagoa grande,1018.36,4,4
RJ,japuiba,1017.58,5,8
SP,oriente,1017.27,3,4
RS,garibaldi,1014.8,9,10
MG,mar de espanha,1014.72,9,10
PA,picarra,1014.6,1,4
RS,xangri-la,1013.58,8,9
GO,itaberai,1012.08,6,6
MG,raposos,1009.52,11,17
RS,bom principio,1003.11,6,6
GO,serranopolis,1002.88,3,3
MA,pedreiras,1002.69,3,4
SP,pilar do sul,1002.36,12,14
RN,macau,998.88,5,5
BA,conceicao do coite,997.89,9,10
SP,taruma,997.72,9,10
SP,primavera,996.78,9,10
PI,campo maior,993.66,7,8
PR,ortigueira,993.29,8,8
SC,araquari,993.25,11,14
MS,bonito,991.47,8,8
PE,lajedo,988.09,7,7
MG,sarzedo,987.93,18,19
MG,sao jose da barra,987.14,6,7
PE,tabira,986.88,5,5
RO,extrema,985.8,4,4
GO,cacu,982.68,8,10
BA,seabra,982.5,6,7
SP,tarabai,982.35,5,5
SP,luis antonio,980.08,7,9
AL,inhapi,979.9,2,2
BA,santo estevao,979.81,5,6
RJ,mangaratiba,974.84,12,14
SP,cosmorama,973.98,6,8
MG,eugenopolis,973.87,5,5
MS,rio brilhante,972.28,11,11
ES,sao jose do calcado,970.18,6,7
PE,lagoa dos gatos,969.99,3,3
PB,mamanguape,969.75,6,10
PR,arapoti,966.97,9,10
MG,fervedouro,965.76,8,10
MT,sapezal,964.82,8,8
SP,estiva gerbi,964.26,7,7
PA,uruara,962.4,6,7
SP,lucelia,961.35,12,12
SC,piratuba,958.98,6,6
AC,cruzeiro do sul,957.79,3,3
RS,nova santa rita,954.78,5,6
PR,munhoz de melo,953.89,4,4
CE,hidrolandia,953.77,7,7
MG,aimores,951.37,10,10
GO,abadiania,949.99,1,1
MG,fronteira,949.66,6,7
TO,cristalandia,948.69,3,3
SP,monte aprazivel,948.11,10,12
PE,dormentes,946.8,2,3
SC,benedito novo,945.74,6,9
SP,cardoso,944.81,6,6
PE,condado,944.8,4,4
PR,paicandu,943.16,10,10
SC,palma sola,938.8,4,4
SP,buri,938.32,10,10
MA,acailandia,937.79,7,7
MG,gouveia,936.96,4,5
RJ,porciuncula,936.88,8,10
SE,sao francisco,934.9,3,3
MT,campos de julio,934.8,6,6
MG,poco fundo,933.99,8,9
SC,canelinha,933.94,4,4
RS,rosario do sul,933.25,14,21
CE,taua,933.13,10,10
PA,concordia do para,929.78,3,3
PR,figueira,928.78,4,5
GO,bom jesus,928.27,8,8
SP,itaju,927.8,3,5
SP,chavantes,926.52,12,12
PI,bom jesus,925.1,4,4
MG,arceburgo,924.14,7,8
BA,jeremoabo,922.08,6,6
PE,cabrobo,921.79,6,6
SP,dourado,920.43,8,10
PR,pinhao,920.28,8,9
SP,holambra ii,919.68,5,6
AL,campo alegre,919.1,2,2
RS,arroio do sal,918.97,7,9
RJ,varre-sai,918.9,4,4
PR,sertanopolis,918.8,4,5
SP,serrana,917.9,13,13
CE,morrinhos,917.8,4,4
SC,otacilio costa,913.29,5,6
BA,mairi,913.0,2,3
BA,jacaraci,911.79,4,4
SC,sao lourenco do oeste,911.37,10,10
SP,julio mesquita,909.99,2,3
SP,guapiacu,906.98,6,6
RS,encruzilhada do sul,903.99,8,8
ES,alfredo chaves,902.71,7,7
GO,itaja,902.0,3,3
SP,pradopolis,901.0,10,12
RS,candido godoi,900.0,1,6
CE,bela cruz,899.9,4,4
MG,grao mogol,899.8,3,3
RS,balneario pinhal,898.57,7,8
MG,borda da mata,897.53,6,6
SP,regente feijo,897.01,10,13
SP,areiopolis,896.49,3,3
GO,crixas,893.68,8,9
SC,urussanga,893.68,10,10
PB,juru,890.0,1,1
MA,barra do corda,889.89,7,10
SP,irapuru,889.48,6,6
MG,candeias,888.29,10,10
GO,itaguari,887.0,1,1
SP,lutecia,887.0,1,1
MG,jordania,886.25,5,5
SP,icem,885.97,9,11
SP,urania,885.72,4,6
SC,treze tilias,885.66,11,14
MG,itamonte,883.15,10,13
MG,pecanha,882.7,5,5
SP,sao luis do paraitinga,882.49,3,3
ES,ecoporanga,881.92,8,8
MG,virginopolis,881.64,8,12
SP,taiuva,881.54,5,9
MG,mirai,880.81,9,11
MG,paraopeba,880.67,9,9
PE,paudalho,878.9,2,2
PR,santa fe,877.8,5,5
SC,capivari de baixo,876.89,5,5
ES,sao domingos do norte,874.4,7,7
MA,coroata,873.48,9,10
BA,macaubas,873.37,9,14
PR,palotina,872.76,10,10
PR,sao joao,872.09,11,12
RJ,california da barra,871.97,6,8
MT,matupa,871.17,7,9
SC,nova trento,870.6,6,6
MG,monte santo de minas,869.28,9,9
MG,itaobim,866.91,6,7
MG,bom jardim de minas,866.87,8,11
GO,santo antonio do descoberto,866.26,5,6
MG,conceicao da aparecida,866.08,5,10
SP,vargem grande do sul,864.6,13,13
RJ,conservatoria,864.09,4,7
SP,miracatu,863.99,5,8
PR,cambara,863.17,10,14
PI,paulistana,862.67,3,4
PA,goianesia do para,861.99,3,3
PR,assai,861.57,5,6
SC,sao joao do sul,861.0,2,2
BA,barra da estiva,860.57,7,9
RS,cacapava do sul,859.99,5,7
CE,quixeramobim,859.79,6,6
RN,sao goncalo do amarante,859.78,7,8
RS,nao-me-toque,859.68,7,9
PR,coronel vivida,856.87,11,12
MG,bom sucesso,856.69,4,4
SC,porto belo,856.32,9,9
SC,santa cecilia,856.22,6,10
MG,brazopolis,856.13,6,6
GO,goianira,853.81,8,9
SC,itapoa,849.67,9,9
CE,santa quiteria,849.67,5,5
SC,rodeio,849.66,7,8
PR,faxinal,848.05,9,9
GO,iaciara,846.99,4,4
RN,sao miguel,846.86,4,5
PR,colonia jordaozinho,843.4,2,5
GO,inaciolandia,842.99,3,4
SP,borborema,842.95,9,9
PR,quedas do iguacu,842.25,8,9
BA,itacare,841.39,8,8
MG,tres marias,840.44,13,13
MA,lago da pedra,840.37,5,5
MT,barra do bugres,840.25,4,4
CE,santana do cariri,839.8,3,3
PR,prudentopolis,839.09,7,8
MG,serro,837.89,2,2
SP,boa esperanca do sul,836.9,11,11
MG,alpinopolis,836.68,7,7
BA,queimadas,834.45,4,5
SP,capela do alto,833.99,3,3
RJ,arrozal,833.89,3,3
SP,pedro de toledo,833.11,9,11
MG,cachoeira do campo,828.99,2,2
MG,formoso,828.99,2,2
GO,itapuranga,828.78,7,8
SE,simao dias,828.48,7,7
CE,lavras da mangabeira,827.88,2,2
MS,dois irmaos do buriti,826.9,3,3
RS,campos borges,825.89,3,3
MG,conceicao do rio verde,825.89,5,6
PR,cruzeiro do oeste,825.39,7,8
SP,joanopolis,824.6,6,6
PR,colonia castrolanda,824.03,3,8
SP,potirendaba,823.32,9,11
TO,dianopolis,822.95,7,9
SP,nuporanga,821.8,3,3
RN,sao jose de mipibu,821.69,3,3
PR,guaira,820.48,7,8
SC,bom jesus,819.89,2,2
BA,conde,819.0,2,2
SP,angatuba,818.75,8,8
RS,chui,818.7,5,5
GO,mambai,816.99,2,2
SC,pinhalzinho,816.86,9,11
RS,sao marcos,816.42,9,10
SP,nazare paulista,815.64,7,8
MG,rio manso,815.56,5,5
RS,serafina correa,813.66,9,9
AL,sao miguel dos campos,813.36,2,5
SP,jacare,810.04,8,10
SP,murutinga do sul,809.0,2,2
SP,ibira,808.73,7,7
PB,bayeux,808.05,7,10
MG,alvinopolis,807.06,11,13
GO,mozarlandia,806.4,7,7
MG,novo cruzeiro,805.78,9,9
MG,guaranesia,805.58,9,10
RS,candiota,802.7,4,4
MG,sao goncalo do rio abaixo,802.2,6,9
GO,santa rita do araguaia,800.25,7,7
BA,canavieiras,799.8,6,6
TO,sandolandia,799.0,1,1
BA,barra do choca,799.0,3,3
PR,cidade gaucha,798.39,5,8
RS,tapes,797.35,6,6
BA,arataca,795.0,1,1
SC,alfredo wagner,794.8,2,2
SP,igarapava,791.09,7,7
PI,regeneracao,790.97,6,6
ES,itarana,789.37,3,6
CE,sao benedito,789.19,4,6
GO,campos belos,788.07,7,7
RS,julio de castilhos,787.54,10,10
SP,echapora,787.47,2,3
BA,ipiau,787.21,8,14
PR,mallet,786.65,6,7
SP,jacupiranga,785.8,5,5
SC,laurentino,782.41,5,5
MT,campo verde,781.38,10,10
PR,mambore,780.24,8,8
MG,datas,780.0,1,6
RN,santana do serido,779.7,2,3
BA,arraial d'ajuda,779.42,8,8
MA,icatu,778.0,1,1
MA,alto parnaiba,777.79,5,5
MG,tarumirim,775.49,4,4
RJ,trajano de moraes,775.18,8,8
RS,tres coroas,774.37,6,6
RS,portao,772.15,10,11
SP,piquete,771.09,9,9
SP,paraiso,770.78,5,5
PE,aguas belas,769.87,6,8
MG,jaboticatubas,767.3,1,2
SP,guaicara,767.23,8,9
BA,cansancao,766.96,7,7
PR,salto do lontra,766.49,4,7
MA,paco do lumiar,766.38,7,7
MG,lima duarte,764.88,6,6
SP,igarata,764.09,5,5
MG,sao pedro dos ferros,763.79,4,4
SP,santa branca,763.76,9,9
PE,moreno,763.5,5,7
PR,morretes,762.98,4,4
PI,amarante,760.0,1,1
SP,aracariguama,759.75,10,10
PR,jaguapita,759.05,1,1
GO,guapo,757.89,6,6
SP,avanhandava,757.68,7,7
SC,sao joao do itaperiu,755.99,1,1
MG,carbonita,755.87,4,4
PR,carlopolis,755.4,6,6
MT,chapada dos guimaraes,754.8,4,4
GO,planaltina,754.24,10,11
BA,trancoso,754.2,6,9
MG,arinos,752.07,8,8
MS,amambai,751.98,6,8
MT,alto taquari,750.88,3,3
MG,matozinhos,750.65,12,12
SC,ilhota,749.14,4,4
CE,varjota,748.97,4,5
BA,tucano,748.69,8,8
BA,sao felipe,747.9,2,2
PE,lagoa do carro,746.77,2,2
RS,getulio vargas,746.61,8,8
MG,santa rita de caldas,746.28,6,7
ES,mimoso do sul,745.37,10,10
MG,dores do indaia,744.57,7,9
MG,pedralva,743.97,3,5
GO,sao joao d'alianca,743.53,3,3
PR,nova londrina,743.53,9,9
PA,santa isabel do para,741.77,6,7
PR,imbituva,740.67,8,10
ES,barra de sao francisco,740.66,10,10
RJ,santa isabel do rio preto,739.9,1,1
MG,resplendor,739.06,10,10
MG,virgem da lapa,737.9,3,3
PR,porecatu,735.42,9,9
MG,sao goncalo do para,734.9,3,4
BA,itajuipe,734.49,3,6
PR,corbelia,733.8,3,3
RJ,vila muriqui,731.76,7,7
TO,tocantinopolis,731.65,7,8
SC,seara,730.85,6,7
CE,solonopole,729.89,2,2
PR,floresta,729.79,5,5
SP,cafelandia,729.2,8,8
RS,barros cassal,729.0,3,4
SP,cananeia,727.66,8,8
MG,bicas,727.65,7,8
SP,ribeirao bonito,727.29,7,7
ES,joao neiva,724.93,8,9
SP,sabino,723.0,3,3
SP,cabreuva,720.6,6,6
MT,colniza,718.97,3,3
GO,piranhas,718.79,4,4
BA,boninal,717.7,2,3
SP,bananal,716.65,6,8
SP,dumont,714.7,4,4
RS,cerro largo,712.87,7,11
MS,alcinopolis,711.16,6,8
SC,vargem bonita,710.59,5,6
SP,bilac,710.52,8,10
MA,sao mateus do maranhao,710.2,3,4
SP,juquia,710.08,9,10
GO,santa cruz de goias,709.0,2,3
MA,arari,708.8,2,2
MA,maioba,708.79,3,3
BA,urandi,707.94,2,3
SP,taguai,707.34,10,11
MA,sao bernardo,706.79,3,3
RO,espigao do oeste,706.68,6,6
PR,santa cruz de monte castelo,706.22,4,4
GO,cidade ocidental,705.38,8,9
BA,ubaira,704.79,6,6
PR,peabiru,704.74,5,5
RS,estacao,704.1,5,5
BA,maracas,703.64,5,6
TO,lagoa da confusao,699.99,5,5
ES,bom jesus do norte,699.89,4,4
RS,pejucara,699.65,4,6
MA,matoes do norte,698.9,2,2
PR,marmeleiro,698.44,7,9
RJ,carapebus,696.97,5,5
CE,guaiuba,695.0,2,2
MG,conceicao do para,694.99,3,3
RS,pedro osorio,692.45,3,3
BA,morro de sao paulo,691.96,1,4
BA,andorinha,691.1,5,5
SC,catanduvas,690.79,6,6
MG,divisa nova,689.9,1,1
