hierarchy_type,level_1,level_2,level_3,level_4
Date,2018,Q1,2018-01,2018-01-15 00:00:00
Date,2018,Q1,2018-01,2018-01-16 00:00:00
Date,2018,Q1,2018-01,2018-01-17 00:00:00
Date,2018,Q1,2018-01,2018-01-18 00:00:00
Date,2018,Q1,2018-01,2018-01-19 00:00:00
Date,2018,Q1,2018-01,2018-01-20 00:00:00
Date,2018,Q1,2018-01,2018-01-21 00:00:00
Date,2018,Q1,2018-01,2018-01-22 00:00:00
Date,2018,Q1,2018-01,2018-01-23 00:00:00
Date,2018,Q1,2018-01,2018-01-24 00:00:00
Date,2018,Q1,2018-01,2018-01-25 00:00:00
Date,2018,Q1,2018-01,2018-01-26 00:00:00
Date,2018,Q1,2018-01,2018-01-27 00:00:00
Date,2018,Q1,2018-01,2018-01-28 00:00:00
Date,2018,Q1,2018-01,2018-01-29 00:00:00
Date,2018,Q1,2018-01,2018-01-30 00:00:00
Date,2018,Q1,2018-01,2018-01-31 00:00:00
Date,2018,Q1,2018-02,2018-02-01 00:00:00
Date,2018,Q1,2018-02,2018-02-02 00:00:00
Date,2018,Q1,2018-02,2018-02-03 00:00:00
Date,2018,Q1,2018-02,2018-02-04 00:00:00
Date,2018,Q1,2018-02,2018-02-05 00:00:00
Date,2018,Q1,2018-02,2018-02-06 00:00:00
Date,2018,Q1,2018-02,2018-02-07 00:00:00
Date,2018,Q1,2018-02,2018-02-08 00:00:00
Date,2018,Q1,2018-02,2018-02-09 00:00:00
Date,2018,Q1,2018-02,2018-02-10 00:00:00
Date,2018,Q1,2018-02,2018-02-11 00:00:00
Date,2018,Q1,2018-02,2018-02-12 00:00:00
Date,2018,Q1,2018-02,2018-02-13 00:00:00
Date,2018,Q1,2018-02,2018-02-14 00:00:00
Date,2018,Q1,2018-02,2018-02-15 00:00:00
Date,2018,Q1,2018-02,2018-02-16 00:00:00
Date,2018,Q1,2018-02,2018-02-17 00:00:00
Date,2018,Q1,2018-02,2018-02-18 00:00:00
Date,2018,Q1,2018-02,2018-02-19 00:00:00
Date,2018,Q1,2018-02,2018-02-20 00:00:00
Date,2018,Q1,2018-02,2018-02-21 00:00:00
Date,2018,Q1,2018-02,2018-02-22 00:00:00
Date,2018,Q1,2018-02,2018-02-23 00:00:00
Date,2018,Q1,2018-02,2018-02-24 00:00:00
Date,2018,Q1,2018-02,2018-02-25 00:00:00
Date,2018,Q1,2018-02,2018-02-26 00:00:00
Date,2018,Q1,2018-02,2018-02-27 00:00:00
Date,2018,Q1,2018-02,2018-02-28 00:00:00
Date,2018,Q1,2018-03,2018-03-01 00:00:00
Date,2018,Q1,2018-03,2018-03-02 00:00:00
Date,2018,Q1,2018-03,2018-03-03 00:00:00
Date,2018,Q1,2018-03,2018-03-04 00:00:00
Date,2018,Q1,2018-03,2018-03-05 00:00:00
Date,2018,Q1,2018-03,2018-03-06 00:00:00
Date,2018,Q1,2018-03,2018-03-07 00:00:00
Date,2018,Q1,2018-03,2018-03-08 00:00:00
Date,2018,Q1,2018-03,2018-03-09 00:00:00
Date,2018,Q1,2018-03,2018-03-10 00:00:00
Date,2018,Q1,2018-03,2018-03-11 00:00:00
Date,2018,Q1,2018-03,2018-03-12 00:00:00
Date,2018,Q1,2018-03,2018-03-13 00:00:00
Date,2018,Q1,2018-03,2018-03-14 00:00:00
Date,2018,Q1,2018-03,2018-03-15 00:00:00
Date,2018,Q1,2018-03,2018-03-16 00:00:00
Date,2018,Q1,2018-03,2018-03-17 00:00:00
Date,2018,Q1,2018-03,2018-03-18 00:00:00
Date,2018,Q1,2018-03,2018-03-19 00:00:00
Date,2018,Q1,2018-03,2018-03-20 00:00:00
Date,2018,Q1,2018-03,2018-03-21 00:00:00
Date,2018,Q1,2018-03,2018-03-22 00:00:00
Date,2018,Q1,2018-03,2018-03-23 00:00:00
Date,2018,Q1,2018-03,2018-03-24 00:00:00
Date,2018,Q1,2018-03,2018-03-25 00:00:00
Date,2018,Q1,2018-03,2018-03-26 00:00:00
Date,2018,Q1,2018-03,2018-03-27 00:00:00
Date,2018,Q1,2018-03,2018-03-28 00:00:00
Date,2018,Q1,2018-03,2018-03-29 00:00:00
Date,2018,Q1,2018-03,2018-03-30 00:00:00
Date,2018,Q1,2018-03,2018-03-31 00:00:00
Date,2018,Q2,2018-04,2018-04-01 00:00:00
Date,2018,Q2,2018-04,2018-04-02 00:00:00
Date,2018,Q2,2018-04,2018-04-03 00:00:00
Date,2018,Q2,2018-04,2018-04-04 00:00:00
Date,2018,Q2,2018-04,2018-04-05 00:00:00
Date,2018,Q2,2018-04,2018-04-06 00:00:00
Date,2018,Q2,2018-04,2018-04-07 00:00:00
Date,2018,Q2,2018-04,2018-04-08 00:00:00
Date,2018,Q2,2018-04,2018-04-09 00:00:00
Date,2018,Q2,2018-04,2018-04-10 00:00:00
Date,2018,Q2,2018-04,2018-04-11 00:00:00
Date,2018,Q2,2018-04,2018-04-12 00:00:00
Date,2018,Q2,2018-04,2018-04-13 00:00:00
Date,2018,Q2,2018-04,2018-04-14 00:00:00
Date,2018,Q2,2018-04,2018-04-15 00:00:00
Date,2018,Q2,2018-04,2018-04-16 00:00:00
Date,2018,Q2,2018-04,2018-04-17 00:00:00
Date,2018,Q2,2018-04,2018-04-18 00:00:00
Date,2018,Q2,2018-04,2018-04-19 00:00:00
Date,2018,Q2,2018-04,2018-04-20 00:00:00
Date,2018,Q2,2018-04,2018-04-21 00:00:00
Date,2018,Q2,2018-04,2018-04-22 00:00:00
Date,2018,Q2,2018-04,2018-04-23 00:00:00
Date,2018,Q2,2018-04,2018-04-24 00:00:00
Date,2018,Q2,2018-04,2018-04-25 00:00:00
Date,2018,Q2,2018-04,2018-04-26 00:00:00
Date,2018,Q2,2018-04,2018-04-27 00:00:00
Date,2018,Q2,2018-04,2018-04-28 00:00:00
Date,2018,Q2,2018-04,2018-04-29 00:00:00
Date,2018,Q2,2018-04,2018-04-30 00:00:00
Date,2018,Q2,2018-05,2018-05-01 00:00:00
Date,2018,Q2,2018-05,2018-05-02 00:00:00
Date,2018,Q2,2018-05,2018-05-03 00:00:00
Date,2018,Q2,2018-05,2018-05-04 00:00:00
Date,2018,Q2,2018-05,2018-05-05 00:00:00
Date,2018,Q2,2018-05,2018-05-06 00:00:00
Date,2018,Q2,2018-05,2018-05-07 00:00:00
Date,2018,Q2,2018-05,2018-05-08 00:00:00
Date,2018,Q2,2018-05,2018-05-09 00:00:00
Date,2018,Q2,2018-05,2018-05-10 00:00:00
Date,2018,Q2,2018-05,2018-05-11 00:00:00
Date,2018,Q2,2018-05,2018-05-12 00:00:00
Date,2018,Q2,2018-05,2018-05-13 00:00:00
Date,2018,Q2,2018-05,2018-05-14 00:00:00
Date,2018,Q2,2018-05,2018-05-15 00:00:00
Date,2018,Q2,2018-05,2018-05-16 00:00:00
Date,2018,Q2,2018-05,2018-05-17 00:00:00
Date,2018,Q2,2018-05,2018-05-18 00:00:00
Date,2018,Q2,2018-05,2018-05-19 00:00:00
Date,2018,Q2,2018-05,2018-05-20 00:00:00
Date,2018,Q2,2018-05,2018-05-21 00:00:00
Date,2018,Q2,2018-05,2018-05-22 00:00:00
Date,2018,Q2,2018-05,2018-05-23 00:00:00
Date,2018,Q2,2018-05,2018-05-24 00:00:00
Date,2018,Q2,2018-05,2018-05-25 00:00:00
Date,2018,Q2,2018-05,2018-05-26 00:00:00
Date,2018,Q2,2018-05,2018-05-27 00:00:00
Date,2018,Q2,2018-05,2018-05-28 00:00:00
Date,2018,Q2,2018-05,2018-05-29 00:00:00
Date,2018,Q2,2018-05,2018-05-30 00:00:00
Date,2018,Q2,2018-05,2018-05-31 00:00:00
Date,2018,Q2,2018-06,2018-06-01 00:00:00
Date,2018,Q2,2018-06,2018-06-02 00:00:00
Date,2018,Q2,2018-06,2018-06-03 00:00:00
Date,2018,Q2,2018-06,2018-06-04 00:00:00
Date,2018,Q2,2018-06,2018-06-05 00:00:00
Date,2018,Q2,2018-06,2018-06-06 00:00:00
Date,2018,Q2,2018-06,2018-06-07 00:00:00
Date,2018,Q2,2018-06,2018-06-08 00:00:00
Date,2018,Q2,2018-06,2018-06-09 00:00:00
Date,2018,Q2,2018-06,2018-06-10 00:00:00
Date,2018,Q2,2018-06,2018-06-11 00:00:00
Date,2018,Q2,2018-06,2018-06-12 00:00:00
Date,2018,Q2,2018-06,2018-06-13 00:00:00
Date,2018,Q2,2018-06,2018-06-14 00:00:00
Date,2018,Q2,2018-06,2018-06-15 00:00:00
Date,2018,Q2,2018-06,2018-06-16 00:00:00
Date,2018,Q2,2018-06,2018-06-17 00:00:00
Date,2018,Q2,2018-06,2018-06-18 00:00:00
Date,2018,Q2,2018-06,2018-06-19 00:00:00
Date,2018,Q2,2018-06,2018-06-20 00:00:00
Date,2018,Q2,2018-06,2018-06-21 00:00:00
Date,2018,Q2,2018-06,2018-06-22 00:00:00
Date,2018,Q2,2018-06,2018-06-23 00:00:00
Date,2018,Q2,2018-06,2018-06-24 00:00:00
Date,2018,Q2,2018-06,2018-06-25 00:00:00
Date,2018,Q2,2018-06,2018-06-26 00:00:00
Date,2018,Q2,2018-06,2018-06-27 00:00:00
Date,2018,Q2,2018-06,2018-06-28 00:00:00
Date,2018,Q2,2018-06,2018-06-29 00:00:00
Date,2018,Q2,2018-06,2018-06-30 00:00:00
Date,2018,Q3,2018-07,2018-07-01 00:00:00
Date,2018,Q3,2018-07,2018-07-02 00:00:00
Date,2018,Q3,2018-07,2018-07-03 00:00:00
Date,2018,Q3,2018-07,2018-07-04 00:00:00
Date,2018,Q3,2018-07,2018-07-05 00:00:00
Date,2018,Q3,2018-07,2018-07-06 00:00:00
Date,2018,Q3,2018-07,2018-07-07 00:00:00
Date,2018,Q3,2018-07,2018-07-08 00:00:00
Date,2018,Q3,2018-07,2018-07-09 00:00:00
Date,2018,Q3,2018-07,2018-07-10 00:00:00
Date,2018,Q3,2018-07,2018-07-11 00:00:00
Date,2018,Q3,2018-07,2018-07-12 00:00:00
Date,2018,Q3,2018-07,2018-07-13 00:00:00
Date,2018,Q3,2018-07,2018-07-14 00:00:00
Date,2018,Q3,2018-07,2018-07-15 00:00:00
Date,2018,Q3,2018-07,2018-07-16 00:00:00
Date,2018,Q3,2018-07,2018-07-17 00:00:00
Date,2018,Q3,2018-07,2018-07-18 00:00:00
Date,2018,Q3,2018-07,2018-07-19 00:00:00
Date,2018,Q3,2018-07,2018-07-20 00:00:00
Date,2018,Q3,2018-07,2018-07-21 00:00:00
Date,2018,Q3,2018-07,2018-07-22 00:00:00
Date,2018,Q3,2018-07,2018-07-23 00:00:00
Date,2018,Q3,2018-07,2018-07-24 00:00:00
Date,2018,Q3,2018-07,2018-07-25 00:00:00
Date,2018,Q3,2018-07,2018-07-26 00:00:00
Date,2018,Q3,2018-07,2018-07-27 00:00:00
Date,2018,Q3,2018-07,2018-07-28 00:00:00
Date,2018,Q3,2018-07,2018-07-29 00:00:00
Date,2018,Q3,2018-07,2018-07-30 00:00:00
Date,2018,Q3,2018-07,2018-07-31 00:00:00
Date,2018,Q3,2018-08,2018-08-01 00:00:00
Date,2018,Q3,2018-08,2018-08-02 00:00:00
Date,2018,Q3,2018-08,2018-08-03 00:00:00
Date,2018,Q3,2018-08,2018-08-04 00:00:00
Date,2018,Q3,2018-08,2018-08-05 00:00:00
Date,2018,Q3,2018-08,2018-08-06 00:00:00
Date,2018,Q3,2018-08,2018-08-07 00:00:00
Date,2018,Q3,2018-08,2018-08-08 00:00:00
Date,2018,Q3,2018-08,2018-08-09 00:00:00
Date,2018,Q3,2018-08,2018-08-10 00:00:00
Date,2018,Q3,2018-08,2018-08-11 00:00:00
Date,2018,Q3,2018-08,2018-08-12 00:00:00
Date,2018,Q3,2018-08,2018-08-13 00:00:00
Date,2018,Q3,2018-08,2018-08-14 00:00:00
Date,2018,Q3,2018-08,2018-08-15 00:00:00
Date,2018,Q3,2018-08,2018-08-16 00:00:00
Date,2018,Q3,2018-08,2018-08-17 00:00:00
Date,2018,Q3,2018-08,2018-08-18 00:00:00
Date,2018,Q3,2018-08,2018-08-19 00:00:00
Date,2018,Q3,2018-08,2018-08-20 00:00:00
Date,2018,Q3,2018-08,2018-08-21 00:00:00
Date,2018,Q3,2018-08,2018-08-22 00:00:00
Date,2018,Q3,2018-08,2018-08-23 00:00:00
Date,2018,Q3,2018-08,2018-08-24 00:00:00
Date,2018,Q3,2018-08,2018-08-25 00:00:00
Date,2018,Q3,2018-08,2018-08-26 00:00:00
Date,2018,Q3,2018-08,2018-08-27 00:00:00
Date,2018,Q3,2018-08,2018-08-28 00:00:00
Date,2018,Q3,2018-08,2018-08-29 00:00:00
Date,2018,Q3,2018-08,2018-08-30 00:00:00
Date,2018,Q3,2018-08,2018-08-31 00:00:00
Date,2018,Q3,2018-09,2018-09-01 00:00:00
Date,2018,Q3,2018-09,2018-09-02 00:00:00
Date,2018,Q3,2018-09,2018-09-03 00:00:00
Product,security_and_services,security_and_services,,
Product,books_imported,books_imported,,
Product,music,music,,
Product,watches_gifts,watches_gifts,,
Product,garden_tools,garden_tools,,
Product,home_construction,home_construction,,
Product,market_place,market_place,,
Product,small_appliances,small_appliances,,
Product,telephony,telephony,,
Product,bed_bath_table,bed_bath_table,,
Product,art,art,,
Product,office_furniture,office_furniture,,
Product,audio,audio,,
Product,air_conditioning,air_conditioning,,
Product,furniture_living_room,furniture_living_room,,
Product,furniture_decor,furniture_decor,,
Product,construction_tools_safety,construction_tools_safety,,
Product,arts_and_craftmanship,arts_and_craftmanship,,
Product,signaling_and_security,signaling_and_security,,
Product,construction_tools_construction,construction_tools_construction,,
Product,cds_dvds_musicals,cds_dvds_musicals,,
Product,small_appliances_home_oven_and_coffee,small_appliances_home_oven_and_coffee,,
Product,fashion_underwear_beach,fashion_underwear_beach,,
Product,consoles_games,consoles_games,,
Product,perfumery,perfumery,,
Product,computers_accessories,computers_accessories,,
Product,cool_stuff,cool_stuff,,
Product,fashion_sport,fashion_sport,,
Product,fashio_female_clothing,fashio_female_clothing,,
Product,books_technical,books_technical,,
Product,Unknown,Unknown,,
Product,toys,toys,,
Product,furniture_mattress_and_upholstery,furniture_mattress_and_upholstery,,
Product,fashion_bags_accessories,fashion_bags_accessories,,
Product,books_general_interest,books_general_interest,,
Product,furniture_bedroom,furniture_bedroom,,
Product,flowers,flowers,,
Product,home_confort,home_confort,,
Product,industry_commerce_and_business,industry_commerce_and_business,,
Product,electronics,electronics,,
Product,drinks,drinks,,
Product,costruction_tools_tools,costruction_tools_tools,,
Product,agro_industry_and_commerce,agro_industry_and_commerce,,
Product,costruction_tools_garden,costruction_tools_garden,,
Product,housewares,housewares,,
Product,christmas_supplies,christmas_supplies,,
Product,stationery,stationery,,
Product,diapers_and_hygiene,diapers_and_hygiene,,
Product,musical_instruments,musical_instruments,,
Product,food,food,,
Product,pet_shop,pet_shop,,
Product,auto,auto,,
Product,home_comfort_2,home_comfort_2,,
Product,la_cuisine,la_cuisine,,
Product,construction_tools_lights,construction_tools_lights,,
Product,health_beauty,health_beauty,,
Product,tablets_printing_image,tablets_printing_image,,
Product,cine_photo,cine_photo,,
Product,computers,computers,,
Product,home_appliances_2,home_appliances_2,,
Product,fashion_shoes,fashion_shoes,,
Product,food_drink,food_drink,,
Product,home_appliances,home_appliances,,
Product,kitchen_dining_laundry_garden_furniture,kitchen_dining_laundry_garden_furniture,,
Product,baby,baby,,
Product,fixed_telephony,fixed_telephony,,
Product,luggage_accessories,luggage_accessories,,
Product,portateis_cozinha_e_preparadores_de_alimentos,portateis_cozinha_e_preparadores_de_alimentos,,
Product,sports_leisure,sports_leisure,,
Product,fashion_childrens_clothes,fashion_childrens_clothes,,
Product,pc_gamer,pc_gamer,,
Product,party_supplies,party_supplies,,
Product,dvds_blu_ray,dvds_blu_ray,,
Product,fashion_male_clothing,fashion_male_clothing,,
Region,SP,sao paulo,,
Region,RJ,rio de janeiro,,
Region,MG,belo horizonte,,
Region,DF,brasilia,,
Region,PR,curitiba,,
Region,RS,porto alegre,,
Region,SP,campinas,,
Region,BA,salvador,,
Region,SP,guarulhos,,
Region,RJ,niteroi,,
Region,GO,goiania,,
Region,SP,sao bernardo do campo,,
Region,SP,santos,,
Region,CE,fortaleza,,
Region,SP,santo andre,,
Region,PE,recife,,
Region,SC,florianopolis,,
Region,SP,osasco,,
Region,SP,jundiai,,
Region,PA,belem,,
Region,SP,sao jose dos campos,,
Region,SP,sorocaba,,
Region,SP,ribeirao preto,,
Region,MG,juiz de fora,,
Region,RJ,nova iguacu,,
Region,MS,campo grande,,
Region,PB,joao pessoa,,
Region,ES,vitoria,,
Region,RJ,sao goncalo,,
Region,SP,piracicaba,,
Region,SP,mogi das cruzes,,
Region,SP,barueri,,
Region,MA,sao luis,,
Region,PI,teresina,,
Region,MG,contagem,,
Region,MG,uberlandia,,
Region,ES,vila velha,,
Region,SP,sao jose do rio preto,,
Region,PR,londrina,,
Region,AL,maceio,,
Region,SP,maua,,
Region,SP,bauru,,
Region,MT,cuiaba,,
Region,SP,praia grande,,
Region,RS,caxias do sul,,
Region,PR,maringa,,
Region,SP,indaiatuba,,
Region,SE,aracaju,,
Region,ES,serra,,
Region,RN,natal,,
Region,SP,taboao da serra,,
Region,MG,divinopolis,,
Region,SC,joinville,,
Region,RJ,campos dos goytacazes,,
Region,RJ,duque de caxias,,
Region,SP,marilia,,
Region,RJ,volta redonda,,
Region,RJ,petropolis,,
Region,SP,sao caetano do sul,,
Region,SP,carapicuiba,,
Region,RS,santa maria,,
Region,RJ,macae,,
Region,SP,cotia,,
Region,MG,betim,,
Region,SP,guaruja,,
Region,SP,sao carlos,,
Region,SP,taubate,,
Region,SP,diadema,,
Region,MG,uberaba,,
Region,RJ,nova friburgo,,
Region,BA,feira de santana,,
Region,RS,canoas,,
Region,MG,montes claros,,
Region,SP,presidente prudente,,
Region,SP,suzano,,
Region,SP,americana,,
Region,SC,blumenau,,
Region,PR,cascavel,,
Region,SP,santana de parnaiba,,
Region,SP,limeira,,
Region,SP,valinhos,,
Region,SP,franca,,
Region,RS,pelotas,,
Region,MG,ipatinga,,
Region,RO,porto velho,,
Region,SP,sumare,,
Region,PE,jaboatao dos guararapes,,
Region,MG,pouso alegre,,
Region,SP,sao vicente,,
Region,MG,nova lima,,
Region,SP,atibaia,,
Region,SP,embu das artes,,
Region,AM,manaus,,
Region,SP,araraquara,,
Region,SC,sao jose,,
Region,RJ,rio das ostras,,
Region,SP,braganca paulista,,
Region,SP,rio claro,,
Region,RJ,barra mansa,,
Region,RS,novo hamburgo,,
Region,MG,governador valadares,,
Region,SP,itaquaquecetuba,,
Region,SC,itajai,,
Region,RS,gravatai,,
Region,PR,ponta grossa,,
Region,RJ,angra dos reis,,
Region,RJ,sao joao de meriti,,
Region,SP,jacarei,,
Region,SP,itapevi,,
Region,PA,ananindeua,,
Region,TO,palmas,,
Region,ES,cariacica,,
Region,PB,campina grande,,
Region,MG,sete lagoas,,
Region,RJ,araruama,,
Region,MG,pocos de caldas,,
Region,RJ,cabo frio,,
Region,GO,anapolis,,
Region,SP,botucatu,,
Region,RJ,teresopolis,,
Region,SC,balneario camboriu,,
Region,MG,patos de minas,,
Region,SP,aracatuba,,
Region,SP,paulinia,,
Region,SP,hortolandia,,
Region,RS,rio grande,,
Region,BA,vitoria da conquista,,
Region,MG,vicosa,,
Region,RJ,mage,,
Region,ES,cachoeiro de itapemirim,,
Region,SP,ferraz de vasconcelos,,
Region,RJ,marica,,
Region,SC,criciuma,,
Region,SC,chapeco,,
Region,RS,passo fundo,,
Region,PR,sao jose dos pinhais,,
Region,SP,guaratingueta,,
Region,SP,birigui,,
Region,GO,aparecida de goiania,,
Region,PE,petrolina,,
Region,MG,varginha,,
Region,MG,itajuba,,
Region,RJ,belford roxo,,
Region,AC,rio branco,,
Region,RJ,nilopolis,,
Region,SP,caieiras,,
Region,RJ,resende,,
Region,SP,caraguatatuba,,
Region,SP,araras,,
Region,MG,lavras,,
Region,PE,olinda,,
Region,MG,araxa,,
Region,SP,santa barbara d'oeste,,
Region,SP,pindamonhangaba,,
Region,SC,jaragua do sul,,
Region,BA,porto seguro,,
Region,SP,itu,,
Region,MG,ribeirao das neves,,
Region,SP,ourinhos,,
Region,SP,mogi-guacu,,
Region,MG,barbacena,,
Region,MT,rondonopolis,,
Region,SP,itapetininga,,
Region,ES,linhares,,
Region,SP,assis,,
Region,SP,itatiba,,
Region,SP,sao joao da boa vista,,
Region,SP,amparo,,
Region,PR,foz do iguacu,,
Region,MG,santa luzia,,
Region,AP,macapa,,
Region,SC,palhoca,,
Region,CE,sobral,,
Region,SP,tatui,,
Region,SC,lages,,
Region,RS,sao leopoldo,,
Region,BA,barreiras,,
Region,MG,muriae,,
Region,SP,votorantim,,
Region,MG,araguari,,
Region,SP,varzea paulista,,
Region,SP,salto,,
Region,SC,gaspar,,
Region,SC,tubarao,,
Region,MG,itabira,,
Region,ES,guarapari,,
Region,SP,itanhaem,,
Region,RS,santa cruz do sul,,
Region,SP,cacapava,,
Region,SP,catanduva,,
Region,SP,ribeirao pires,,
Region,SP,franco da rocha,,
Region,PR,toledo,,
Region,GO,jatai,,
Region,SP,cajamar,,
Region,MG,caratinga,,
Region,SP,sao roque,,
Region,PE,caruaru,,
Region,SP,bertioga,,
Region,SP,barretos,,
Region,SP,jau,,
Region,GO,rio verde,,
Region,RS,bage,,
Region,MG,conselheiro lafaiete,,
Region,SP,francisco morato,,
Region,SP,poa,,
Region,RS,cachoeirinha,,
Region,PR,paranagua,,
Region,SP,lins,,
Region,SP,vinhedo,,
Region,RJ,mesquita,,
Region,SP,mairipora,,
Region,PR,pato branco,,
Region,SP,mogi mirim,,
Region,BA,lauro de freitas,,
Region,MS,dourados,,
Region,BA,ilheus,,
Region,SP,ubatuba,,
Region,SP,sao sebastiao,,
Region,SP,itapecerica da serra,,
Region,AL,arapiraca,,
Region,PR,pinhais,,
Region,PR,guarapuava,,
Region,SP,pirassununga,,
Region,BA,itabuna,,
Region,MG,manhuacu,,
Region,SP,jaguariuna,,
Region,MG,paracatu,,
Region,SC,brusque,,
Region,MG,lagoa santa,,
Region,SP,avare,,
Region,SP,votuporanga,,
Region,BA,luis eduardo magalhaes,,
Region,MG,sao joao del rei,,
Region,SP,jandira,,
Region,TO,araguaina,,
Region,SP,leme,,
Region,SC,videira,,
Region,RS,lajeado,,
Region,SP,lorena,,
Region,MG,itauna,,
Region,MG,nova serrana,,
Region,MG,timoteo,,
Region,MG,teofilo otoni,,
Region,RR,boa vista,,
Region,BA,juazeiro,,
Region,SP,aruja,,
Region,PR,colombo,,
Region,SP,itapira,,
Region,RN,parnamirim,,
Region,PR,francisco beltrao,,
Region,SP,fernandopolis,,
Region,MS,tres lagoas,,
Region,SP,boituva,,
Region,MG,ibirite,,
Region,BA,camacari,,
Region,PR,apucarana,,
Region,PR,campo mourao,,
Region,PR,paranavai,,
Region,RJ,tres rios,,
Region,SP,matao,,
Region,MA,imperatriz,,
Region,MG,para de minas,,
Region,RJ,itaborai,,
Region,MG,ponte nova,,
Region,BA,jacobina,,
Region,MT,varzea grande,,
Region,CE,juazeiro do norte,,
Region,SP,cubatao,,
Region,RJ,itaperuna,,
Region,MG,joao monlevade,,
Region,BA,eunapolis,,
Region,ES,colatina,,
Region,SP,sertaozinho,,
Region,MG,ouro preto,,
Region,RS,bento goncalves,,
Region,MG,unai,,
Region,MG,patrocinio,,
Region,MG,pirapora,,
Region,SP,andradina,,
Region,SC,navegantes,,
Region,SP,cosmopolis,,
Region,SP,lencois paulista,,
Region,SP,jaboticabal,,
Region,SP,peruibe,,
Region,RS,viamao,,
Region,PR,arapongas,,
Region,RJ,paracambi,,
Region,ES,sao mateus,,
Region,RS,esteio,,
Region,BA,paulo afonso,,
Region,SP,tupa,,
Region,RS,erechim,,
Region,MT,sinop,,
Region,RJ,itaguai,,
Region,BA,valenca,,
Region,MG,uba,,
Region,SP,itapeva,,
Region,SP,mococa,,
Region,SP,registro,,
Region,RS,cachoeira do sul,,
Region,RS,osorio,,
Region,BA,alagoinhas,,
Region,SP,embu-guacu,,
Region,MT,primavera do leste,,
Region,RS,alvorada,,
Region,MG,vespasiano,,
Region,RJ,queimados,,
Region,SC,sao miguel do oeste,,
Region,SC,itapema,,
Region,SP,cruzeiro,,
Region,MG,guaxupe,,
Region,PR,rolandia,,
Region,SP,artur nogueira,,
Region,SC,taio,,
Region,SC,concordia,,
Region,SP,olimpia,,
Region,CE,caucaia,,
Region,SP,mirassol,,
Region,SP,vargem grande paulista,,
Region,MT,lucas do rio verde,,
Region,PR,umuarama,,
Region,PE,paulista,,
Region,RS,sapucaia do sul,,
Region,RS,ijui,,
Region,SP,batatais,,
Region,MG,ituiutaba,,
Region,RJ,barra do pirai,,
Region,MG,curvelo,,
Region,GO,catalao,,
Region,GO,valparaiso de goias,,
Region,RS,santo angelo,,
Region,SP,adamantina,,
Region,RS,guaiba,,
Region,MG,arcos,,
Region,PA,santarem,,
Region,SP,mongagua,,
Region,SP,itupeva,,
Region,MG,alfenas,,
Region,CE,maracanau,,
Region,RJ,santo antonio de padua,,
Region,GO,caldas novas,,
Region,GO,formosa,,
Region,MA,balsas,,
Region,RJ,arraial do cabo,,
Region,TO,gurupi,,
Region,PA,altamira,,
Region,GO,itumbiara,,
Region,MG,santa barbara,,
Region,SP,sao jose do rio pardo,,
Region,RS,santo antonio da patrulha,,
Region,PA,tucurui,,
Region,PR,araucaria,,
Region,PR,uniao da vitoria,,
Region,MG,itabirito,,
Region,MG,pedro leopoldo,,
Region,PR,mandaguari,,
Region,SP,santo antonio de posse,,
Region,SP,campo limpo paulista,,
Region,SP,bebedouro,,
Region,MG,salinas,,
Region,MT,campo novo do parecis,,
Region,SP,piraju,,
Region,RS,montenegro,,
Region,SP,tremembe,,
Region,RN,mossoro,,
Region,SC,sao bento do sul,,
Region,PR,cianorte,,
Region,RJ,armacao dos buzios,,
Region,MG,sao sebastiao do paraiso,,
Region,MG,bom jesus do galho,,
Region,SC,rio do sul,,
Region,SP,louveira,,
Region,SP,penapolis,,
Region,GO,luziania,,
Region,SP,capivari,,
Region,MT,caceres,,
Region,SC,joacaba,,
Region,MS,corumba,,
Region,MT,juina,,
Region,PR,telemaco borba,,
Region,RS,capao da canoa,,
Region,BA,jequie,,
Region,MG,bom despacho,,
Region,RJ,saquarema,,
Region,RJ,sao pedro da aldeia,,
Region,BA,simoes filho,,
Region,PR,fazenda rio grande,,
Region,RS,uruguaiana,,
Region,SP,taquaritinga,,
Region,MG,carangola,,
Region,BA,guanambi,,
Region,MG,cataguases,,
Region,SC,canoinhas,,
Region,SC,cacador,,
Region,SP,monte mor,,
Region,SP,dracena,,
Region,MG,tres coracoes,,
Region,MG,extrema,,
Region,RJ,vassouras,,
Region,RS,alegrete,,
Region,MG,sabara,,
Region,RJ,japeri,,
Region,SP,nova odessa,,
Region,RS,taquara,,
Region,MG,ouro branco,,
Region,MG,mariana,,
Region,MG,formiga,,
Region,RJ,rio bonito,,
Region,RS,campo bom,,
Region,RJ,seropedica,,
Region,SP,promissao,,
Region,BA,santo antonio de jesus,,
Region,CE,pacatuba,,
Region,SP,sao joaquim da barra,,
Region,SC,biguacu,,
Region,SP,pereira barreto,,
Region,PR,almirante tamandare,,
Region,RS,santana do livramento,,
Region,MG,passos,,
Region,MG,sao lourenco,,
Region,MG,coronel fabriciano,,
Region,SP,monte alegre do sul,,
Region,SC,xanxere,,
Region,SP,tiete,,
Region,RO,ariquemes,,
Region,SP,barra bonita,,
Region,PE,garanhuns,,
Region,PA,parauapebas,,
Region,PE,trindade,,
Region,MG,santa vitoria,,
Region,MT,barra do garcas,,
Region,MG,andradas,,
Region,ES,aracruz,,
Region,PI,parnaiba,,
